protein_id,viral_family
sp|Q6SW62|SCAF_HCMVM,Herpesviridae
sp|Q6SW67|GH_HCMVM,Herpesviridae
sp|F5HB53|GB_HCMVM,Herpesviridae
sp|F5HCH8|GL_HCMVM,Herpesviridae
sp|F5HGP1|GO_HCMVM,Herpesviridae
sp|F5HI87|CEP3_HCMVM,Herpesviridae
sp|Q6SW37|EP84_HCMVM,Herpesviridae
sp|Q6SW81|NEC2_HCMVM,Herpesviridae
sp|Q6SW94|VGLI_HCMVM,Herpesviridae
sp|Q6SW98|UL33_HCMVM,Herpesviridae
sp|Q6SWB9|UL11P_HCMVM,Herpesviridae
sp|F5HAC7|CEP2_HCMVM,Herpesviridae
sp|F5HAM0|UL144_HCMVM,Herpesviridae
sp|F5HAQ7|UL135_HCMVM,Herpesviridae
sp|F5HB52|US08_HCMVM,Herpesviridae
sp|F5HBC6|PP71_HCMVM,Herpesviridae
sp|F5HC33|US09_HCMVM,Herpesviridae
sp|F5HC71|IL10H_HCMVM,Herpesviridae
sp|F5HC79|TRM1_HCMVM,Herpesviridae
sp|F5HC97|VPAP_HCMVM,Herpesviridae
sp|F5HCM1|VIE1_HCMVM,Herpesviridae
sp|F5HCP3|UL130_HCMVM,Herpesviridae
sp|F5HDK1|US27_HCMVM,Herpesviridae
sp|F5HE05|US02_HCMVM,Herpesviridae
sp|F5HE12|UL35_HCMVM,Herpesviridae
sp|F5HEA3|TEG7_HCMVM,Herpesviridae
sp|F5HEN8|HELI_HCMVM,Herpesviridae
sp|F5HET1|UL78_HCMVM,Herpesviridae
sp|F5HET4|U131A_HCMVM,Herpesviridae
sp|F5HEU0|US03_HCMVM,Herpesviridae
sp|F5HF44|UL145_HCMVM,Herpesviridae
sp|F5HF49|AN_HCMVM,Herpesviridae
sp|F5HF62|US28_HCMVM,Herpesviridae
sp|F5HFJ7|US10_HCMVM,Herpesviridae
sp|F5HFZ4|NEC1_HCMVM,Herpesviridae
sp|F5HG51|PRIM_HCMVM,Herpesviridae
sp|F5HG98|UL38_HCMVM,Herpesviridae
sp|F5HGG3|UL26_HCMVM,Herpesviridae
sp|F5HGJ4|PP85_HCMVM,Herpesviridae
sp|F5HGQ8|UL138_HCMVM,Herpesviridae
sp|F5HHH2|UL142_HCMVM,Herpesviridae
sp|F5HHQ0|GN_HCMVM,Herpesviridae
sp|F5HHZ3|UL42_HCMVM,Herpesviridae
sp|Q6SVX2|TRS1_HCMVM,Herpesviridae
sp|Q6SVZ5|US11_HCMVM,Herpesviridae
sp|Q6SW00|US06_HCMVM,Herpesviridae
sp|Q6SW04|IRS1_HCMVM,Herpesviridae
sp|Q6SW29|VIE2_HCMVM,Herpesviridae
sp|Q6SW43|GM_HCMVM,Herpesviridae
sp|Q6SW46|UL97_HCMVM,Herpesviridae
sp|Q6SW59|PP65_HCMVM,Herpesviridae
sp|Q6SW66|UL76_HCMVM,Herpesviridae
sp|Q6SW70|DUT_HCMVM,Herpesviridae
sp|Q6SW73|ICP27_HCMVM,Herpesviridae
sp|Q6SW77|DPOL_HCMVM,Herpesviridae
sp|Q6SW84|LTP_HCMVM,Herpesviridae
sp|Q6SW85|ITP_HCMVM,Herpesviridae
sp|Q6SW99|PP150_HCMVM,Herpesviridae
sp|Q6SWA4|UL27_HCMVM,Herpesviridae
sp|Q6SWC3|UL07_HCMVM,Herpesviridae
sp|Q6SWD5|IR01_HCMVM,Herpesviridae
sp|F5H8Q3|UL148_HCMVM,Herpesviridae
sp|F5H8R0|U147A_HCMVM,Herpesviridae
sp|F5H8R6|UL96_HCMVM,Herpesviridae
sp|F5H9F9|UL88_HCMVM,Herpesviridae
sp|F5H9N4|VP22_HCMVM,Herpesviridae
sp|F5H9T4|UL09_HCMVM,Herpesviridae
sp|F5H9Z4|UL20_HCMVM,Herpesviridae
sp|F5HA06|UL147_HCMVM,Herpesviridae
sp|F5HA10|CEP1_HCMVM,Herpesviridae
sp|F5HA93|TRX1_HCMVM,Herpesviridae
sp|F5HAE6|UL15A_HCMVM,Herpesviridae
sp|F5HAR3|US19_HCMVM,Herpesviridae
sp|F5HAY6|VICA_HCMVM,Herpesviridae
sp|F5HAZ3|US23_HCMVM,Herpesviridae
sp|F5HB40|UL84_HCMVM,Herpesviridae
sp|F5HB41|US30_HCMVM,Herpesviridae
sp|F5HBR4|PORTL_HCMVM,Herpesviridae
sp|F5HBX1|CXCL1_HCMVM,Herpesviridae
sp|F5HC14|UL119_HCMVM,Herpesviridae
sp|F5HC16|UL34_HCMVM,Herpesviridae
sp|F5HCU8|TRM3_HCMVM,Herpesviridae
sp|F5HD27|UL121_HCMVM,Herpesviridae
sp|F5HD92|US14_HCMVM,Herpesviridae
sp|F5HDC7|US22_HCMVM,Herpesviridae
sp|F5HDD3|US07_HCMVM,Herpesviridae
sp|F5HDM3|UL23_HCMVM,Herpesviridae
sp|F5HDQ6|DNBI_HCMVM,Herpesviridae
sp|F5HE44|US12_HCMVM,Herpesviridae
sp|F5HE74|U148A_HCMVM,Herpesviridae
sp|F5HEN7|SCP_HCMVM,Herpesviridae
sp|F5HF35|UL136_HCMVM,Herpesviridae
sp|F5HF90|UL22A_HCMVM,Herpesviridae
sp|F5HFA5|UL117_HCMVM,Herpesviridae
sp|F5HFB4|UL18_HCMVM,Herpesviridae
sp|F5HFG3|UL41A_HCMVM,Herpesviridae
sp|F5HG68|UL16P_HCMVM,Herpesviridae
sp|F5HGI9|TRM2_HCMVM,Herpesviridae
sp|F5HGT1|MCP_HCMVM,Herpesviridae
sp|F5HGU6|UL132_HCMVM,Herpesviridae
sp|F5HHS3|UL124_HCMVM,Herpesviridae
sp|F5HI32|IR10_HCMVM,Herpesviridae
sp|F5HI85|UNG_HCMVM,Herpesviridae
sp|F5HIG1|HEPA_HCMVM,Herpesviridae
sp|F5HIN9|TRX2_HCMVM,Herpesviridae
sp|F7V995|RL8A_HCMVM,Herpesviridae
